ORG_CODE,SIMPLE_ALL_STAFF_FTE,YEAR
AHO,2404.08119,2009
RA2,6316.19254,2009
RA3,3739.48405,2009
RA4,3982.53625,2009
RA7,16483.21247,2009
RA9,8497.26179,2009
RAE,11377.9874,2009
RAJ,9314.15908,2009
RAL,12233.28031,2009
RAN,2339.10919,2009
RAP,4685.03482,2009
RAS,5909.06736,2009
RAT,5304.69049,2009
RAX,5734.32191,2009
RBA,9379.20684,2009
RBD,5757.49405,2009
RBK,6187.84749,2009
RBL,12401.1255,2009
RBN,9343.26484,2009
RBQ,2965.95631,2009
RBS,6293.71075,2009
RBT,7324.48899,2009
RBV,5400.58774,2009
RBZ,5327.37038,2009
RC1,5094.33079,2009
RC9,6761.0337,2009
RCB,9567.27577,2009
RCD,4972.432,2009
RCF,5476.24806,2009
RCU,4043.67808,2009
RCX,5725.54303,2009
RD1,8400.92966,2009
RD3,8091.21887,2009
RD8,5671.53529,2009
RDD,8881.26557,2009
RDE,7243.14153,2009
RDR,3002.281,2009
RDU,8007.38375,2009
RDY,3786.58817,2009
RDZ,9077.51732,2009
RE9,4366.84578,2009
REF,11079.68968,2009
REM,10834.80859,2009
REN,1730.23036,2009
REP,3035.60787,2009
RET,1738.50929,2009
RF4,11615.15115,2009
RFF,6041.03867,2009
RFR,7124.36682,2009
RFS,7151.701,2009
RGD,5576.57777,2009
RGM,3436.94778,2009
RGN,7361.40755,2009
RGP,6249.65372,2009
RGQ,7774.87533,2009
RGR,5745.71262,2009
RGT,16656.72438,2009
RH5,2625.43639,2009
RH8,12543.57051,2009
RHA,14010.56021,2009
RHM,16720.82054,2009
RHQ,30040.25652,2009
RHU,15497.19868,2009
RHW,9884.22472,2009
RJ1,23224.22847,2009
RJ2,5042.2847,2009
RJ6,5739.87154,2009
RJ7,13736.72668,2009
RJ8,3255.87052,2009
RJC,4215.30774,2009
RJE,15376.13959,2009
RJF,5682.4802,2009
RJL,12272.24734,2009
RJN,4583.66171,2009
RJR,7504.2726,2009
RJX,4164.11456,2009
RJZ,14630.44978,2009
RK5,8988.73483,2009
RK9,13400.27594,2009
RKB,14070.98992,2009
RKE,5531.7436,2009
RKL,9284.03423,2009
RL1,2591.69924,2009
RL4,10389.33744,2009
RLN,11314.02581,2009
RLQ,3600.39211,2009
RLT,4115.39912,2009
RLU,3698.89113,2009
RLY,4494.9379,2009
RM1,12759.94365,2009
RM2,10288.97044,2009
RM3,11444.21256,2009
RMC,7957.80285,2009
RMP,5106.1064,2009
RMY,5711.96207,2009
RN3,6370.23086,2009
RN5,5763.50999,2009
RN7,4218.10039,2009
RNA,7571.07936,2009
RNK,1070.1603,2009
RNL,7723.72136,2009
RNN,3233.92962,2009
RNQ,7364.97978,2009
RNS,8767.68532,2009
RNU,6286.27816,2009
RNZ,7181.19776,2009
RP1,4627.89858,2009
RP4,7746.01899,2009
RP5,13464.98506,2009
RP6,3118.41,2009
RP7,4306.75347,2009
RPA,8157.43214,2009
RPC,2015.1838,2009
RPG,4522.15339,2009
RPY,5641.00151,2009
RQ3,6336.33864,2009
RQ6,13169.74831,2009
RQ8,7864.16532,2009
RQM,6209.62453,2009
RQQ,3473.63137,2009
RQW,6427.33935,2009
RQX,4917.86874,2009
RQY,5695.32998,2009
RR1,20365.01123,2009
RR7,7853.63189,2009
RR8,33083.90854,2009
RRD,4381.53698,2009
RRE,7884.90898,2009
RRF,9385.19987,2009
RRJ,1874.15342,2009
RRK,15656.15804,2009
RRP,5266.5784,2009
RRU,10537.55019,2009
RRV,14383.06737,2009
RT1,6222.71445,2009
RT2,5521.68489,2009
RT3,6252.09778,2009
RT5,6556.17256,2009
RTD,24102.26828,2009
RTE,15680.01824,2009
RTF,12535.63962,2009
RTG,15902.73134,2009
RTH,18253.12722,2009
RTK,7150.6545,2009
RTP,6174.82639,2009
RTQ,3853.1926,2009
RTR,15616.741,2009
RTV,4952.3818,2009
RTX,10290.29579,2009
RV3,8481.95533,2009
RV5,11042.33505,2009
RV9,4055.22706,2009
RVJ,18322.8305,2009
RVN,8623.67112,2009
RVR,8919.18757,2009
RVV,15991.81363,2009
RVW,11971.33995,2009
RVY,6254.99787,2009
RW1,9815.65924,2009
RW3,18888.18729,2009
RW4,9663.82235,2009
RW5,8685.17099,2009
RW6,21618.9417,2009
RWA,17197.42423,2009
RWD,15538.20511,2009
RWE,25254.40426,2009
RWF,11249.50497,2009
RWG,7995.03643,2009
RWH,11484.82553,2009
RWJ,9265.21849,2009
RWK,6042.92146,2009
RWN,4675.8634,2009
RWP,11325.2276,2009
RWR,6738.01715,2009
RWV,4812.86253,2009
RWW,8207.0112,2009
RWX,4394.58068,2009
RWY,12668.56721,2009
RX1,26201.68651,2009
RX2,8623.10219,2009
RX3,11652.99564,2009
RX4,15477.4067,2009
RX6,5088.52562,2009
RX7,11639.0316,2009
RX8,8802.46802,2009
RX9,7747.45789,2009
RXA,6328.73532,2009
RXC,11554.5098,2009
RXE,6498.60745,2009
RXF,15844.1015,2009
RXG,5652.95098,2009
RXH,12704.25452,2009
RXK,15384.25413,2009
RXL,10488.84255,2009
RXM,4827.84873,2009
RXN,15071.88259,2009
RXP,11685.10236,2009
RXQ,9725.47598,2009
RXR,13507.10044,2009
RXT,9425.64707,2009
RXV,6967.68569,2009
RXW,10002.76979,2009
RXX,8496.14673,2009
RXY,8228.03856,2009
RYA,8516.47069,2009
RYC,9653.68468,2009
RYD,6955.0046,2009
RYE,5605.07887,2009
RYF,5446.77083,2009
RYG,7291.46795,2009
RYJ,20332.49445,2009
RYK,2717.91865,2009
RYR,12623.45476,2009
T1150,401.60169,2009
T1450,11973.10622,2009
T1460,16341.38742,2009
TAD,5825.63381,2009
TAE,3296.39549,2009
TAF,4523.56427,2009
TAH,6584.7236,2009
TAJ,2389.0354,2009
AHO,4141.64045,2010
RA2,6932.10758,2010
RA3,3770.11199,2010
RA4,4060.93203,2010
RA7,16506.51077,2010
RA9,8267.45719,2010
RAE,11464.01961,2010
RAJ,9451.47774,2010
RAL,12653.2555,2010
RAN,2545.75484,2010
RAP,5002.98657,2010
RAS,5942.86595,2010
RAT,5524.78286,2010
RAX,5828.08314,2010
RBA,8783.09543,2010
RBD,5272.88587,2010
RBK,6255.24715,2010
RBL,11806.9502,2010
RBN,9607.56165,2010
RBQ,3102.68399,2010
RBS,6284.97724,2010
RBT,6976.29201,2010
RBV,5429.70038,2010
RBZ,5391.87731,2010
RC1,4928.55044,2010
RC9,6991.81768,2010
RCB,9829.64895,2010
RCD,5033.80945,2010
RCF,5545.46381,2010
RCU,4343.66916,2010
RCX,6079.19805,2010
RD1,8011.4557,2010
RD3,7789.98367,2010
RD8,5840.97302,2010
RDD,9172.73381,2010
RDE,7538.39574,2010
RDR,3042.31746,2010
RDU,8131.09854,2010
RDY,3805.03521,2010
RDZ,8711.67471,2010
RE9,4409.1351,2010
REF,11303.45952,2010
REM,10760.47978,2010
REN,1870.05166,2010
REP,3170.2556,2010
RET,2105.37912,2010
RF4,11933.25498,2010
RFF,5941.13168,2010
RFR,7541.96083,2010
RFS,7214.961,2010
RGD,5544.87069,2010
RGM,3354.24842,2010
RGN,7792.25807,2010
RGP,6446.90618,2010
RGQ,7955.14242,2010
RGR,5911.69162,2010
RGT,16987.42833,2010
RH5,2671.87128,2010
RH8,12913.48926,2010
RHA,13946.94034,2010
RHM,17282.09057,2010
RHQ,30071.18577,2010
RHU,13022.86176,2010
RHW,10033.19267,2010
RJ1,23864.40484,2010
RJ2,5835.10067,2010
RJ6,7459.54377,2010
RJ7,17269.14253,2010
RJ8,3221.0531,2010
RJC,4433.84469,2010
RJE,15527.94311,2010
RJF,5748.96263,2010
RJL,12139.0296,2010
RJN,4766.60788,2010
RJR,7602.23022,2010
RJX,3967.91743,2010
RJZ,15360.08404,2010
RK5,9178.61897,2010
RK9,13452.20947,2010
RKB,14010.22086,2010
RKE,5658.79017,2010
RKL,9612.12874,2010
RL1,2721.28852,2010
RL4,10840.77628,2010
RLN,11533.03954,2010
RLQ,3682.10113,2010
RLT,4147.40734,2010
RLU,3947.53482,2010
RLY,4408.97703,2010
RM1,13499.49709,2010
RM2,10864.66222,2010
RM3,11551.60927,2010
RMC,7919.38058,2010
RMP,5323.66893,2010
RMY,5859.8431,2010
RN3,6729.59731,2010
RN5,5614.98058,2010
RN7,4543.73884,2010
RNA,8013.96641,2010
RNK,1128.34956,2010
RNL,7680.23759,2010
RNN,3246.42915,2010
RNQ,7387.27909,2010
RNS,9093.60835,2010
RNU,6791.93087,2010
RNZ,7089.63791,2010
RP1,4072.44566,2010
RP4,7928.36324,2010
RP5,13414.7816,2010
RP6,3249.846,2010
RP7,4320.30041,2010
RPA,8216.47874,2010
RPC,1879.5684,2010
RPG,5487.27766,2010
RPY,6112.94903,2010
RQ3,6712.55323,2010
RQ6,13364.08468,2010
RQ8,7830.8108,2010
RQM,6455.07119,2010
RQQ,3571.62627,2010
RQW,6751.04648,2010
RQX,5396.5015,2010
RQY,5441.47322,2010
RR1,20613.45293,2010
RR7,7531.69003,2010
RR8,32563.03844,2010
RRD,4345.85376,2010
RRE,7980.15631,2010
RRF,9457.60495,2010
RRJ,1901.70782,2010
RRK,15600.89779,2010
RRP,5158.11908,2010
RRU,11131.78109,2010
RRV,15416.74359,2010
RT1,6495.76971,2010
RT2,5928.57794,2010
RT3,6621.34511,2010
RT5,6423.39737,2010
RTD,24188.79668,2010
RTE,15454.24138,2010
RTF,12726.38247,2010
RTG,15422.41076,2010
RTH,18064.39613,2010
RTK,7312.90653,2010
RTP,6560.19388,2010
RTQ,3918.8879,2010
RTR,15815.69078,2010
RTV,5216.36916,2010
RTX,10306.40191,2010
RV3,8804.35679,2010
RV5,11137.805,2010
RV9,4117.6413,2010
RVJ,18244.95538,2010
RVN,8516.9398,2010
RVR,8982.03323,2010
RVV,16373.42301,2010
RVW,12330.80943,2010
RVY,6256.52172,2010
RW1,9726.46237,2010
RW3,20019.19859,2010
RW4,9246.36824,2010
RW5,8769.95153,2010
RW6,22051.33694,2010
RWA,17512.21826,2010
RWD,15501.07108,2010
RWE,24768.99926,2010
RWF,11629.10261,2010
RWG,8253.57752,2010
RWH,11429.53555,2010
RWJ,9207.49889,2010
RWK,6162.41108,2010
RWN,7535.33098,2010
RWP,11477.82023,2010
RWR,7623.75569,2010
RWV,4817.07105,2010
RWW,8420.23794,2010
RWX,4568.42135,2010
RWY,12723.96344,2010
RX1,26923.69939,2010
RX2,8573.5166,2010
RX3,12186.87676,2010
RX4,15079.68465,2010
RX6,5283.25609,2010
RX7,12039.38284,2010
RX8,9879.03231,2010
RX9,7973.15967,2010
RXA,5994.68656,2010
RXC,11681.27348,2010
RXE,6344.46375,2010
RXF,15888.28927,2010
RXG,5806.86026,2010
RXH,13296.36356,2010
RXK,15074.38509,2010
RXL,10731.85711,2010
RXM,4738.37982,2010
RXN,15198.97207,2010
RXP,11563.60416,2010
RXQ,11820.08229,2010
RXR,13465.82807,2010
RXT,10001.3898,2010
RXV,6980.70124,2010
RXW,10638.01967,2010
RXX,7769.86981,2010
RXY,8191.1331,2010
RYA,9259.37901,2010
RYC,9078.73347,2010
RYD,6854.56538,2010
RYE,5706.16469,2010
RYF,5305.53496,2010
RYG,7014.69465,2010
RYJ,21099.58355,2010
RYK,2637.45426,2010
RYR,13117.43577,2010
T1150,371.37333,2010
T1450,8244.73479,2010
T1460,16111.46655,2010
TAD,5888.01536,2010
TAE,3688.87334,2010
TAF,4955.54334,2010
TAH,6559.95112,2010
TAJ,2357.92632,2010
AHO,10883.52255,2011
RA2,7259.03295,2011
RA3,3567.30114,2011
RA4,4101.34855,2011
RA7,16677.63558,2011
RA9,8197.12284,2011
RAE,11335.20739,2011
RAJ,9621.09695,2011
RAL,12502.50944,2011
RAN,2728.29945,2011
RAP,5205.8434,2011
RAS,5855.33809,2011
RAT,5715.58292,2011
RAX,5735.19778,2011
RBA,8737.53716,2011
RBD,5153.58587,2011
RBK,6914.37865,2011
RBL,11545.38653,2011
RBN,9236.59321,2011
RBQ,3201.82787,2011
RBS,6085.01199,2011
RBT,7003.62745,2011
RBV,5667.43835,2011
RBZ,5534.91903,2011
RC1,4990.23031,2011
RC9,6715.79233,2011
RCB,10198.05268,2011
RCD,5072.42076,2011
RCF,5470.2448,2011
RCU,5265.20968,2011
RCX,6403.93268,2011
RD1,7960.19836,2011
RD3,7499.94002,2011
RD8,5921.89581,2011
RDD,9109.27498,2011
RDE,7472.07838,2011
RDR,8445.44157,2011
RDU,8410.16868,2011
RDY,3391.153,2011
RDZ,8493.02719,2011
RE9,4594.20767,2011
REF,11067.49872,2011
REM,10043.3308,2011
REN,1887.09411,2011
REP,3025.33239,2011
RET,2111.4129,2011
RF4,12430.37387,2011
RFF,5858.98093,2011
RFR,9424.99511,2011
RFS,7228.631,2011
RGD,5600.41824,2011
RGM,3567.94845,2011
RGN,8076.66861,2011
RGP,6379.63305,2011
RGQ,7861.88268,2011
RGR,6079.7856,2011
RGT,16967.2916,2011
RH5,2750.28909,2011
RH8,12503.17938,2011
RHA,19301.12515,2011
RHM,17038.73322,2011
RHQ,32211.28627,2011
RHU,11763.36217,2011
RHW,10273.44937,2011
RJ1,26322.83122,2011
RJ2,6409.43423,2011
RJ6,7221.571,2011
RJ7,17351.63317,2011
RJ8,3885.37023,2011
RJC,4768.44747,2011
RJE,14961.6634,2011
RJF,6533.05741,2011
RJL,12162.76231,2011
RJN,7479.69478,2011
RJR,7738.43029,2011
RJX,4085.08134,2011
RJZ,15253.98912,2011
RK5,9161.04447,2011
RK9,12609.43909,2011
RKB,14466.77899,2011
RKE,9547.66085,2011
RKL,8978.35377,2011
RL1,2741.59193,2011
RL4,14262.18145,2011
RLN,11175.52026,2011
RLQ,3757.76364,2011
RLT,4286.71788,2011
RLU,3722.4674,2011
RLY,3934.46329,2011
RM1,13527.22778,2011
RM2,11865.24047,2011
RM3,13548.05702,2011
RMC,8185.01886,2011
RMP,5132.99291,2011
RMY,5802.61485,2011
RN3,6784.2765,2011
RN5,5689.02105,2011
RN7,4817.41514,2011
RNA,8516.56878,2011
RNK,1082.64418,2011
RNL,7351.70018,2011
RNN,7581.69462,2011
RNQ,7443.164,2011
RNS,9514.50286,2011
RNU,11391.60936,2011
RNZ,6853.59496,2011
RP1,3816.0712,2011
RP4,7796.88841,2011
RP5,13502.53694,2011
RP6,3473.496,2011
RP7,4426.10719,2011
RPA,8085.03821,2011
RPC,1878.31825,2011
RPG,7239.99108,2011
RPY,6229.30819,2011
RQ3,6729.07513,2011
RQ6,13363.94221,2011
RQ8,8336.98799,2011
RQM,6661.71237,2011
RQQ,3596.34504,2011
RQW,6495.86705,2011
RQX,7350.48949,2011
RQY,5312.1153,2011
RR1,22848.30058,2011
RR7,7482.93111,2011
RR8,32122.30694,2011
RRD,4279.20298,2011
RRE,7379.34543,2011
RRF,9597.31756,2011
RRJ,1870.80158,2011
RRK,16311.37409,2011
RRP,6183.2724,2011
RRU,10826.1987,2011
RRV,15580.65021,2011
RT1,5308.46835,2011
RT2,6297.6478,2011
RT3,6663.85401,2011
RT5,6023.16029,2011
RTD,24902.90863,2011
RTE,15470.24534,2011
RTF,12429.95006,2011
RTG,16117.21449,2011
RTH,18501.86629,2011
RTK,7082.6289,2011
RTP,6955.04861,2011
RTQ,4709.40381,2011
RTR,15766.42439,2011
RTV,5171.08165,2011
RTX,9775.09844,2011
RV3,8414.84966,2011
RV5,11113.84561,2011
RV9,6236.41516,2011
RVJ,18568.61319,2011
RVN,8122.86059,2011
RVR,8982.18851,2011
RVV,16751.58025,2011
RVW,11795.30084,2011
RVY,7349.23492,2011
RW1,15111.12722,2011
RW3,22222.8152,2011
RW4,8993.585,2011
RW5,8425.50046,2011
RW6,21512.72174,2011
RWA,17259.61074,2011
RWD,15465.36794,2011
RWE,24599.88116,2011
RWF,11917.22374,2011
RWG,8512.12564,2011
RWH,11433.36211,2011
RWJ,9014.99347,2011
RWK,8399.58595,2011
RWN,7092.83968,2011
RWP,11399.21077,2011
RWR,7316.14043,2011
RWV,4974.2214,2011
RWW,8274.88599,2011
RWX,4464.45356,2011
RWY,13202.77051,2011
RX1,27209.58019,2011
RX2,9007.27512,2011
RX3,12358.36479,2011
RX4,14356.31076,2011
RX6,5333.54942,2011
RX7,11729.93474,2011
RX8,9656.09874,2011
RX9,7745.19673,2011
RXA,7313.36315,2011
RXC,13479.6318,2011
RXE,9319.99302,2011
RXF,15898.5316,2011
RXG,6336.33809,2011
RXH,14332.34271,2011
RXK,14957.04781,2011
RXL,9736.67455,2011
RXM,5228.66372,2011
RXN,15158.86826,2011
RXP,17440.13479,2011
RXQ,11810.24143,2011
RXR,13442.0568,2011
RXT,9324.13475,2011
RXV,7159.66131,2011
RXW,11055.7087,2011
RXX,6290.38466,2011
RXY,7720.11165,2011
RYA,8809.64179,2011
RYC,9223.8225,2011
RYD,6642.90525,2011
RYE,5749.22774,2011
RYF,5355.97603,2011
RYG,6806.82732,2011
RYJ,20397.60608,2011
RYK,2609.57651,2011
RYR,13355.92998,2011
T1150,333.06486,2011
T1450,6824.35329,2011
T1460,14479.02086,2011
TAD,5826.51277,2011
TAE,4159.62844,2011
TAF,4671.64704,2011
TAH,6659.18633,2011
TAJ,2490.40732,2011
AHO,9903.57448,2012
RA2,7472.75246,2012
RA3,3447.89421,2012
RA4,4160.79849,2012
RA7,16424.40085,2012
RA9,8487.24798,2012
RAE,12045.03072,2012
RAJ,9633.15362,2012
RAL,11518.4034,2012
RAN,2931.62809,2012
RAP,5024.42361,2012
RAS,5749.45485,2012
RAT,12232.48851,2012
RAX,5583.39067,2012
RBA,8487.71958,2012
RBD,5058.44274,2012
RBK,8372.1391,2012
RBL,12091.38427,2012
RBN,9549.86221,2012
RBQ,3258.95827,2012
RBS,5795.05822,2012
RBT,7150.7778,2012
RBV,5750.04213,2012
RBZ,9136.0836,2012
RC1,5084.89592,2012
RC9,7255.86303,2012
RCB,17529.1131,2012
RCD,6864.46123,2012
RCF,5534.53639,2012
RCU,5518.96073,2012
RCX,6264.74676,2012
RD1,8045.34077,2012
RD3,7434.56026,2012
RD8,6022.90764,2012
RDD,9159.78851,2012
RDE,8823.51011,2012
RDR,8821.55722,2012
RDU,8724.84563,2012
RDY,10400.58238,2012
RDZ,8552.92731,2012
RE9,10255.72524,2012
REF,11216.43416,2012
REM,9853.11532,2012
REN,1999.28752,2012
REP,2997.14279,2012
RET,2255.38221,2012
RF4,12714.76491,2012
RFF,6096.37997,2012
RFR,9196.46895,2012
RFS,7364.16,2012
RGD,7404.48021,2012
RGM,3717.13247,2012
RGN,8002.34051,2012
RGP,6303.96776,2012
RGQ,7530.08755,2012
RGR,6112.13196,2012
RGT,17351.57199,2012
RH5,7688.30036,2012
RH8,12820.63638,2012
RHA,20367.2969,2012
RHM,17300.51088,2012
RHQ,31614.03233,2012
RHU,12423.18025,2012
RHW,10527.97621,2012
RJ1,27371.53939,2012
RJ2,6094.10572,2012
RJ6,7362.19031,2012
RJ7,17252.70124,2012
RJ8,4158.13202,2012
RJC,8278.32283,2012
RJE,15000.04941,2012
RJF,6254.00948,2012
RJL,12265.87505,2012
RJN,7347.07551,2012
RJR,7992.71267,2012
RJX,4009.52528,2012
RJZ,16070.16459,2012
RK5,9157.01908,2012
RK9,12771.43177,2012
RKB,14698.26275,2012
RKE,9148.75238,2012
RKL,8214.24849,2012
RL1,2780.35784,2012
RL4,14405.14256,2012
RLN,11397.04813,2012
RLQ,5496.23066,2012
RLT,4281.16004,2012
RLU,3912.73472,2012
RLY,3645.86602,2012
RM1,13550.28053,2012
RM2,12006.49975,2012
RM3,13825.46081,2012
RMC,11982.02785,2012
RMP,5104.52362,2012
RMY,9531.54601,2012
RN3,10421.11544,2012
RN5,10986.16318,2012
RN7,4987.29762,2012
RNA,9469.45086,2012
RNK,1068.0466,2012
RNL,7336.68159,2012
RNN,7674.5486,2012
RNQ,7451.03435,2012
RNS,9557.04742,2012
RNU,11810.11083,2012
RNZ,6809.71726,2012
RP1,7851.44994,2012
RP4,8069.03349,2012
RP5,13142.02612,2012
RP6,3728.272,2012
RP7,4452.18052,2012
